,num_cicloestacion,nombre,latitud,longitud,station_id,community
464,482,CE-482 Lago Xochimilco - Laguna de San Cristóbal,19.444826,-99.178393,482,349
465,545,CE-545 Sabino - Salvador Díaz Mirón,19.449098384943877,-99.1599521041462,545,300
466,486,CE-486 Izcoatl - Circuito Interior Melchor Ocampo,19.437334,-99.169573,486,191
467,98,CE-098 Emilio Dondé-Av. Balderas,19.430267,-99.14861,098,195
468,491,CE-491 Colegio Salesiano - Lago Catemaco,19.449405,-99.176635,491,415
469,672,CE-672 José María Velasco - Damas,19.36295,-99.183161,672,309
470,543,CE-543 Jaime Torres Bodet - Manuel Carpio,19.450506,-99.157375,543,329
471,540,CE-540 Eucalipto - Ricardo Flores Magón,19.453965040246473,-99.1524680704424,540,396
472,703,CE-703 Miguel Hidalgo - Calzada General Anaya,19.350776,-99.155379,703,310
473,673,CE-673 Miguel Noreña - José María Ibarrarán,19.363153,-99.186963,673,649
474,700,CE-700 Abasolo - Miguel Hidalgo,19.350062,-99.160024,700,607
475,704,CE-704 Pacífico - Asia,19.344976,-99.157824,704,447
476,709,CE-709 Inglaterra - Antigua Taxqueña,19.344236764049867,-99.15006525817262,709,460
477,706,CE-706 Canadá - Acolotitla,19.347503,-99.15244,706,372
478,702,CE-702 Fernández Leal - Plaza de la Conchita,19.347246,-99.15857,702,265
479,708,CE-708 Irlanda-Canada,19.346419552561255,-99.1456691175972,708,186
480,643,CE-643 Filipinas - Av. Pirineos,19.362323,-99.148805,643,454
481,597,CE-597 Diagonal San Antonio - Icacos,19.398858,-99.151211,597,464
482,694,CE-694 Ignacio Aldama - Centenario,19.353243,-99.163753,694,324
483,696,CE-696 México - Malintzin,19.351576,-99.164567,696,438
484,626,CE-626 San Borja - Petén,19.382115,-99.153988,626,343
485,615,CE-615 Tajín - Universidad,19.38748,-99.153876,615,540
486,630,CE-630 Cuicuilco - Motozintla,19.375677,-99.152953,630,401
487,701,CE-701 Cuauhtémoc - Morelos,19.352052,-99.157981,701,662
488,617,CE-617 Mitla - Eje 5 Sur,19.384589,-99.150517,617,414
489,692,CE-692 Presidente Carranza - Francisco Sosa,19.349149,-99.169646,692,371
490,688,CE-688 Panzacola - Miguel Ángel de Quevedo,19.346975,-99.178791,688,7
491,661,CE-661 Madrid - Universidad,19.35675,-99.171769,661,615
492,618,CE-618 Bartolomé R. Salido - Edzna,19.381824,-99.148086,618,279
493,602,CE-602 Correspondencia - Eje Central Lázaro Cárdenas,19.392523,-99.146194,602,612
494,559,CE-559 Fernando de Alva Ixtlilxochitl - Diagonal 20 de noviembre,19.420029,-99.140999,559,262
495,691,CE-691 Melchor Ocampo - Dulce Olivia,19.347283,-99.170834,691,629
496,689,CE-689 G. Pérez Valenzuela - Salvador Novo,19.351426,-99.175455,689,474
497,619,CE-619 Kiff - Rafael Solana Verduguillo,19.381277,-99.145804,619,354
498,649,CE-649 Héroes del 47 - Calzada de Tlalpan,19.35072,-99.146786,649,542
499,629,CE-629 Tajín - Chichen Itzá,19.376367,-99.155872,629,635
500,562,CE-562 Claudio Bernard - José María Vertiz,19.42037,-99.146818,562,501
501,609,CE-609 Romero - Calzada de Tlalpan,19.384623,-99.139817,609,33
502,623,CE-623 Fernando Montes de Oca - Antonio Rodríguez,19.375518,-99.144118,623,489
503,651,CE-651 Héroes del 47 - División del Norte,19.351578,-99.150941,651,522
504,612,CE-612 Torres Adalid - Cumbres de Maltrata,19.388148,-99.148446,612,616
505,577,CE-577 Doctor Márquez - Doctor Jiménez,19.411609,-99.15314,577,303
506,624,CE-624 Luis Spota - Eje Central Lázaro Cárdenas,19.377516,-99.148116,624,24
507,620,CE-620 Fernando Montes de Oca - Priv. Lago,19.381804,-99.142997,620,80
508,592,CE-592 Cádiz - Eje Central Lázaro Cárdenas,19.399664,-99.145136,592,535
509,637,CE-637 Ajusco - Emperadores,19.36576,-99.144413,637,197
510,604,CE-604 Andalucía - Carteros,19.390945,-99.142972,604,184
511,634,CE-634 Rumania - Víctor Hugo,19.370133,-99.145866,634,511
512,568,CE-568 Doctor Barragán - Doctor Erazo,19.418013,-99.144598,568,0
513,639,CE-639 Bulgaria - Rumania,19.364528,-99.146988,639,568
514,573,CE-573 Fernando Ramírez - Isabel la Católica,19.412853,-99.138723,573,237
515,494,CE-494 Tláloc - Calzada México Tacuba,19.444053,-99.167429,494,93
516,563,CE-563 Doctor Velasco - Niños Héroes,19.419444,-99.149776,563,229
517,560,CE-560 Doctor Liceaga - Eje Central,19.421599,-99.143408,560,94
518,611,CE-611 Miguel Negrete - Niños Héroes de Chapultepec,19.387506,-99.146338,611,344
519,567,CE-567 Doctor Martínez del Río - Doctor José Terrés,19.417133,-99.145649,567,148
520,589,CE-589 Cádiz - Calzada de Tlalpan,19.39859,-99.137732,589,654
521,564,CE-564 Doctor Carmona y Valle - Doctor Velasco,19.419509,-99.153227,564,587
522,633,CE-633 Canarias - Calzada Santa Cruz,19.372175,-99.146356,633,632
523,664,CE-664 Hortensia - 2da cerrada de Minerva,19.355544,-99.178992,664,541
524,579,CE-579 Doctor Márquez - Privada Doctor Duran,19.410884,-99.144975,579,566
525,652,CE-652 Xicoténcatl - División del Norte,19.354876,-99.153611,652,586
526,663,CE-663 Hortensia - Avenida Universidad,19.3548028,-99.1754194,663,634
527,603,CE-603 Castilla - Eje 4 sur Xola,19.394422,-99.143291,603,327
528,548,CE-548 Dr. Mariano Azuela - Jose Antonio Alzate,19.447028903088047,-99.1543111950432,548,119
529,463,CE-463 Lago Andrómaco-Lago Zurich,19.443238843979103,-99.20280866324902,463,319
530,662,CE-662 Manzano - Circuito Interior,19.362041,-99.175158,662,665
531,679,CE-679 Olivo - Tecoyotitla,19.354886,-99.184642,679,437
532,571,CE-571 Manuel M. Flores - Calzada San Antonio Abad,19.416221,-99.134909,571,453
533,578,CE-578 Doctor Jiménez - Doctor Federico Gómez Santos,19.408649,-99.151126,578,216
534,666,CE-666 Moras - Naranjo,19.3614885,-99.1774325,666,667
535,556,CE-556 Plaza Tlaxcoaque - Diagonal 20 de noviembre,19.423056,-99.134941,556,55
536,678,CE-678 Francia - Tecoyotitla,19.3588634,-99.1829297,678,647
537,645,CE-645 Saratoga - Ajusco,19.358634,-99.152732,645,204
538,569,CE-569 Gutiérrez Nájera - Bolívar,19.415713,-99.141227,569,378
539,686,CE-686 Vito Alessio Robles - Universidad,19.352203,-99.178393,686,564
540,501,CE-501 Plan de Guadalupe /Ferrocarril de Cuernavaca - Eligio Ancona,19.454257,-99.172593,501,623
541,697,CE-697 Francisco Sosa - Tres Cruces,19.349277,-99.164921,697,332
542,530,CE-530  Membrillo - Cda. Nueces,19.4645,-99.16948,530,481
543,584,CE-584 Enrique Granados - José Peón Contreras (Eje 3),19.40697,-99.14383,584,189
544,580,CE-580 Antonio Solís - Bolívar,19.409817,-99.141643,580,83
545,575,CE-575 Fernando Ramírez - Eje Central,19.413235,-99.143476,575,156
546,590,CE-590 Fernando - Isabel la Católica,19.399172,-99.140625,590,427
547,650,CE-650 Xicoténcatl- Prolongación Xicoténcatl,19.355809,-99.149393,650,192
548,631,CE-631 Miguel Laurent - Eje Central,19.372907,-99.149207,631,248
549,687,CE-687 Francisco Sosa - Panzacola,19.349307,-99.179074,687,666
550,640,CE-640 Odesa - Bulgaria,19.367465,-99.148786,640,518
551,628,CE-628 Tenayuca - Chichen Itzá,19.378281,-99.15841,628,121
552,510,CE-510 Egipto - Calle Norte 79 A,19.462152,-99.178291,510,217
553,635,CE-635 Calzada Santa Cruz - Antillas,19.370586,-99.142294,635,34
554,655,CE-655 Gomez Farias - Viena,19.357086311891955,-99.16019652040175,655,593
555,531,CE-531 Norte 67 - Poniente 44,19.460356,-99.174283,531,530
556,684,CE-684 Vito Alessio Robles - Tecoyotitla,19.351594,-99.184772,684,590
557,613,CE-613 Luz Saviñón - Doctor José María Vertiz,19.390019,-99.15111,613,452
558,557,CE-557 5 de Febrero - Fernando de Alva Ixtlilxochitl,19.41981,-99.135941,557,496
559,642,CE-642 Repúblicas - Monrovia,19.364001,-99.150422,642,559
560,512,CE-512 Clavería - Floresta,19.465638,-99.186178,512,652
561,665,CE-665 Moras - Mango,19.3589028,-99.1779972,665,628
562,594,CE-594 Xochicalco - Obrero Mundial,19.402277,-99.153294,594,336
563,514,CE-514 José F. Gutiérrez - Invierno,19.470485,-99.188509,514,214
564,525,CE-525 Boldo - Tila,19.4683001,-99.165619,525,553
565,527,CE-527 Boldo - Alcanfores,19.464826,-99.163177,527,669
566,516,CE-516 Texcoco - Nilo,19.46669,-99.180302,516,640
567,595,CE-595 Yacatas - Diagonal de San Antonio,19.396983,-99.155114,595,25
568,517,CE-517 Ignacio Allende - Clavería,19.465377,-99.179197,517,171
569,519,CE-519 Poniente 58 - Cuitláhuac,19.464891,-99.177242,519,120
570,521,CE-521 Yuca - Clavelinas,19.466423,-99.173061,521,514
571,518,CE-518 Heliópolis - Norte 79A,19.468315,-99.177386,518,11
572,654,CE-654 Londres - San Pedro,19.355942,-99.157461,654,352
573,653,CE-653 Londres - División del Norte,19.356689,-99.153269,653,630
574,707,CE-707 Irlanda - División del Norte,19.348076,-99.14906,707,391
575,542,CE-542 Dr. Enrique González Martínez - Eligio Ancona,19.451838,-99.154584,542,100
576,636,CE-636 Ajusco - Antillas,19.367131,-99.142838,636,653
577,561,CE-561 Dr. Jiménez - Dr. Lavista,19.423673,-99.147957,561,404
578,585,CE-585 José Toribio Medina - Manuel Navarrete,19.405358,-99.14316,585,328
579,600,CE-600 Cumbres de Acultzingo - Av. Universidad,19.392463,-99.150544,600,142
580,599,CE-599 La Morena - Zempoala,19.398143,-99.148333,599,312
581,638,CE-638 Av Pirineos - C. Antillas,19.361743,-99.143867,638,75
582,591,CE-591 Simón Bolívar - La Coruña,19.402088,-99.142976,591,113
583,500,CE-500 Plan de Guadalupe /Ferrocarril de Cuernavaca - Juan Sarabia,19.456546,-99.169344,500,547
584,484,CE-484 Laguna Mayran - Lago Cuitzeo,19.44046,-99.174564,484,66
585,601,CE-601 Navarra - Fernando,19.395888,-99.145344,601,608
586,685,CE-685 Av De la Paz - Insurgentes,19.34769884286648,-99.18690070520825,685,43
